!	![Punc]
"	"[Punc]
'	'[Punc]
(	([Punc]
)	)[Punc]
,	,[Punc]
-	-[Punc]
-lokhu	lokhu[Dem+Pos]
-xyz	xyz[Abbr]
.	.[Punc]
/	/[Punc]
0	0[Num]
000	000[Num]
1	1[Num]
1.1	1.1[Num]
10	10[Num]
100	100[Num]
152	152[Num]
195	195[Num]
2	2[Num]
2.2	2.2[Num]
2.3.2	2.3.2[Num]
2007	2007[Num]
21	21[Num]
24	24[Num]
25	25[Num]
27699	27699[Num]
29(b)	29(b)[Num]
3	3[Num]
32	32[Num]
39	39[Num]
4	4[Num]
5	5[Num]
5,6	5,6[Num]
5.6	5.6[Num]
6	6[Num]
9	9[Num]
:	:[Punc]
;	;[Punc]
?	?[Punc]
[	[[Punc]
]	][Punc]
a	a[Foreign]
aba	aba[RelConc]
ababambisani	a[NPrePre]-ba[BPre]-bambisani[NStem]
ababandakanyekako	aba[RelConc]-bandakany[VRoot]-ek[NeutExt]-a[VerbTerm]-ko[RelSuf]
abahlala	aba[RelConc]-hlal[VRoot]-a[VerbTerm]
abahlali	a[NPrePre]-ba[BPre]-hlali[NStem]
abakghonakalisi	a[NPrePre]-ba[BPre]-kghonakalisi[NStem]
abanamakghono	aba[RelConc]-na[AdvPre]-ma[BPre]-kghono[NStem]
abanengi	aba[AdjPref]-nengi[AdjStem]
abantu	a[NPrePre]-ba[BPre]-ntu[NStem]
abanye	aba[AdjPref]-nye[AdjStem]
abarholi	a[NPrePre]-ba[BPre]-rholi[NStem]
abasebenzi	a[NPrePre]-ba[BPre]-sebenzi[NStem]
abavela	aba[RelConc]-vel[VRoot]-a[VerbTerm]
abc	abc[Abbr]
abobaba	a[NPrePre]-bo[BPre]-baba[NStem]
abomma	a[NPrePre]-bo[BPre]-mma[NStem]
abonobangela	a[NPrePre]-bo[BPre]-nobangela[NStem]
afrika	afrika[ProperName]
ahlukahlukeneko	a[RelConc]-hlukahlukene[NStem]-ko[RelSuf]
aids	aids[Abbr]
akwazi	a[SC]-ku[OC]-az[VRoot]-i[VerbTerm]
ali-	ali[RelConc]
alirikhotho	alirikhotho[NStem]
alo-ke	alo-ke[Ideoph]
ama-iri	a[NPrePre]-ma[BPre]-iri[NStem]
ama-kpi	a[NPrePre]-ma[BPre]-kpi[Abbr]
amabili	ama[AdjPref]-bili[AdjStem]
amagadango	a[NPrePre]-ma[BPre]-gadango[NStem]
amahle	ama[AdjPref]-hle[AdjStem]
amahlelo	a[NPrePre]-ma[BPre]-hlelo[NStem]
amakghono	a[NPrePre]-ma[BPre]-kghono[NStem]
amakhansela	a[NPrePre]-ma[BPre]-khansela[NStem]
amakhulu	ama[AdjPref]-khulu[AdjStem]
amakomidi	a[NPrePre]-ma[BPre]-komidi[NStem]
amalunga	a[NPrePre]-ma[BPre]-lunga[NStem]
amalungelo	a[NPrePre]-ma[BPre]-lungelo[NStem]
amalungiselelo	a[NPrePre]-ma[BPre]-lungiselelo[NStem]
amandla	a[RelConc]-mandla[RelStem]
amanengi	ama[AdjPref]-nengi[AdjStem]
amanothi	a[NPrePre]-ma[BPre]-nothi[NStem]
amanye	ama[AdjPref]-nye[AdjStem]
amaphrojekthi	a[NPrePre]-ma[BPre]-phrojekthi[NStem]
amaqhinga	a[NPrePre]-ma[BPre]-qhinga[NStem]
amarherho	a[NPrePre]-ma[BPre]-rherho[NStem]
amathathu	ama[AdjPref]-thathu[AdjStem]
amathuba	a[NPrePre]-ma[BPre]-thuba[NStem]
amatjhejontangi	a[NPrePre]-ma[BPre]-tjhejontangi[NStem]
amatjhuguluko	a[NPrePre]-ma[BPre]-tjhuguluko[NStem]
amazinga	a[NPrePre]-ma[BPre]-zinga[NStem]
anande	anande[NStem]
and	and[Foreign]
angekhe	angekhe[Adv]
angeze	a[RelConc]-nge[NegPre]-ze[RelStem]
aqakathekileko	a[SC]-qakathek[VRoot]-ile[Perf]-ko[RelSuf]
arnstein	arnstein[ProperName]
asebenza	a[SC]-sebenz[VRoot]-a[VerbTerm]
at	at[Foreign]
b	b[Foreign]
babo	ba[PossConc]-bo[PronStem]
bakhona	ba[SC]-khona[Adv]
bawa	baw[VRoot]-a[VerbTerm]
bay	bay[ProperName]
be-cbp	be[PossConc]-cbp[Abbr]
begodu	begodu[Conj]
bendawo	ba[PossConc]-i[NPrePre]-n[BPre]-ndawo[NStem]
benza	ba[SC]-enz[VRoot]-a[VerbTerm]
bese	be[SC]-s[VRoot]-e[VerbTerm]
bo	bo[PossConc]
boke	bo[QuantConc]-ke[QuantStem]
bomphakathi	ba[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
bona	bona[AbsPron]
bonyana	bonyana[Conj]
both	both[Foreign]
by	by[Foreign]
c	c[Foreign]
cabanga	cabanga[ProperName]
cabinet	cabinet[Foreign]
cash	cash[Foreign]
coiporation	coiporation[ProperName]
conflictus	conflictus[Foreign]
contributing	contributing[Foreign]
corporation	corporation[Foreign]
cpf	cpf[Abbr]
delivery	delivery[Foreign]
departments	departments[Foreign]
development	development[Foreign]
diagram	diagram[Foreign]
du	du[Ideoph]
e	e[Foreign]
ebantwini	e[LocPre]-ba[BPre]-ntu[NStem]-ini[LocSuf]
ecac	ecac[Abbr]
eenarheni	e[RelConc]-e[LocPre]-narha[NStem]-eni[LocSuf]
eendabeni	e[RelConc]-e[LocPre]-ndaba[NStem]-eni[LocSuf]
eenqhemeni	e[RelConc]-e[LocPre]-n[BPre]-qhema[NStem]-eni[LocSuf]
efliphutjhadini	e[LocPre]-fliphutjhadi[NStem]-ini[LocSuf]
ekhona	e[RelConc]-khona[Adv]
ekufuze	e[RelConc]-ku[OC]-fuz[VRoot]-e[VerbTerm]
ekulu	e[AdjPref]-kulu[AdjStem]
