!	![Punc]
"	"[Punc]
%	%[Punc]
'	'[Punc]
(	([Punc]
)	)[Punc]
,	,[Punc]
-	-[Punc]
-2005	2005[Num]
-wid	wid[Abbr]
.	.[Punc]
/	/[Punc]
0	000[Num]
1	1[Num]
1.1	1.1[Num]
10	10[Num]
10%	10%[Num]
100	100[Num]
15	15[Num]
152	152[Num]
195	195[Num]
1969	1969[Num]
1970	1970[Num]
1994	1994[Num]
1995	1995[Num]
1996	1996[Num]
1997	1997[Num]
1998	1998[Num]
1999	1999[Num]
2	2[Num]
2.2	2.2[Num]
2.3.2	2.3.2[Num]
2.30	2.30[Num]
20	20[Num]
2000	2000[Num]
2001	2001[Num]
2003	2003[Num]
2004	2004[Num]
2005	2005[Num]
2006	2006[Num]
2007	2007[Num]
21	21[Num]
24	24[Num]
27(4)	27(4)[Num]
27699	27699[Num]
28	28[Num]
29	29[Num]
3	3[Num]
3.1	3.1[Num]
3.3	3.3[Num]
30	30[Num]
32	32[Num]
33	33[Num]
33%	33%[Num]
35	35[Num]
39	39[Num]
4	4[Num]
40	40[Num]
44	44[Num]
5	5[Num]
5.6	5.6[Num]
52	52[Num]
54	54[Num]
56	56[Num]
6	6[Num]
65	65[Num]
66	66[Num]
68	68[Num]
7	7[Num]
7.00	7.00[Num]
74a	74a[Num]
87	87[Num]
9	9[Num]
90	90[Num]
:	:[Punc]
;	;[Punc]
?	?[Punc]
[	[[Punc]
]	][Punc]
a	a[Foreign]
a.	a.[Abbr]
abc	abc[Abbr]
action	action[Foreign]
africa	africa[ProperName]
african	african[Foreign]
afrika	afrika[ProperName]
afrikan	afrikan[ProperName]
aicdd	aicdd[Abbr]
aids	aids[ProperName]
akanye	akanye[Conj]
and	and[Foreign]
angeke	angeke[AuxVStem]
aphindze	a[SC]-phindz[VRoot]-e[VerbTerm]
arika	afrika[ProperName]
arnstein	arnstein[ProperName]
ato	ato[NStem]
awo	a[PossConc]-wo[PronStem]
b	b[Foreign]
babambi	ba[BPre]-bambi[NStem]
babe	ba[SC]-b[VRoot]-e[VerbTerm]
bafati	ba[BPre]-fati[NStem]
bahlali	ba[BPre]-hlali[NStem]
baholi	ba[BPre]-holi[NStem]
bakwati	ba[SC]-ku[OC]-at[VRoot]-i[VerbTerm]
banganako	banganako[NStem]
banikete	ba[SC]-niket[VRoot]-e[VerbTerm]
banti	banti[RelStem]
baphindze	ba[BPre]-phindz[VRoot]-e[VerbTerm]
based	based[Foreign]
basekhaya	ba[PossConc]-s[PreLoc-s]-e[LocPre]-li[BPre]-khaya[NStem]
baseningizimu	ba[PossConc]-s[PreLoc-s]-e[LocPre]-ningizimu[NStem]
batabe	batabe[AuxVStem]
batho	batho[ProperName]
batibekele	batibekele[NStem]
batibophetele	batibophetele[NStem]
bawutfula	bawutfula[NStem]
bay	bay[ProperName]
beaufort	beaufort[ProperName]
behlukena	behlukena[NStem]
beliwadi	beliwadi[NStem]
bemkhakha	bemkhakha[NStem]
bemmango	be[PossConc]-m[BPre]-mango[NStem]
bendzawo	ba[PossConc]-i[NPrePre]-n[BPre]-dzawo[NStem]
benkhohlakalo	benkhohlakalo[NStem]
betfuli	betfuli[NStem]
betinsita	ba[PossConc]-tin[BPre]-sita[NStem]
bhala	bhal[VRoot]-a[VerbTerm]
bomake	bo[BPre]-make[NStem]
bonkhe	bo[QuantConc]-nkhe[QuantStem]
bosothekniki	bosothekniki[NStem]
bubanti	bubanti[NStem]
bucebi	bucebi[NStem]
budlelwane	bu[BPre]-dlelwane[NStem]
buholi	bu[BPre]-holi[NStem]
bulili	bu[BPre]-lili[NStem]
buniyo	buniyo[NStem]
buphuya	buphuya[NStem]
buyehlukana	buyehlukana[NStem]
bête	bête[Foreign]
c	c[Foreign]
c.	c.[Abbr]
cabanga	cabanga[NStem]
calangaye	calangaye[NStem]
calani	calani[NStem]
cbo	cbo[Abbr]
cbp	cbp[Abbr]
cembu	cembu[NStem]
chinga	chinga[NStem]
cicbp	cicbp[Abbr]
cishe	cishe[AuxVStem]
cocela	cocela[NStem]
community-based	community-based[Foreign]
conflict	conflict[Foreign]
conflictus	conflictus[Foreign]
corporation	corporation[Foreign]
cpf	cpf[Abbr]
criminal	criminal[Foreign]
cwephesha	cwephesha[NStem]
dbsa	dbsa[Abbr]
development	development[Foreign]
diagnostic	diagnostic[Foreign]
dvutane	dvutane[Adv]
dvute	dvute[NStem]
dvutne	dvutane[Adv]
e	e[Foreign]
ebusuku	ebusuku[Adv]
edar	edar[ProperName]
edolobheni	e[LocPre]-dolobha[NStem]-ini[LocSuf]
ekhatsi	e[LocPre]-khatsi[Adv]
ekhaya	e[LocPre]-i[NPrePre]-li[BPre]-khaya[NStem]
ekhulwinime	ekhulwinime[NStem]
ekutsaneni	ekutsaneni[Conj]
ekwakheni	e[LocPre]-ku[BPre]-akh[VRoot]-a[VerbTerm]-ini[LocSuf]
emacophelo	e[NPrePre]-ma[BPre]-cophelo[NStem]
emagama	e[NPrePre]-ma[BPre]-gama[NStem]
emakhono	e[NPrePre]-ma[BPre]-khono[NStem]
emakpi	e[NPrePre]-ma[BPre]-kpi[Abbr]
emalunga	e[NPrePre]-ma[BPre]-lunga[NStem]
emalungelo	e[NPrePre]-ma[BPre]-lungelo[NStem]
emanotsi	e[NPrePre]-ma[BPre]-notsi[NStem]
ematfuba	e[NPrePre]-ma[BPre]-tfuba[NStem]
emaveni	e[LocPre]-ma[BPre]-ve[NStem]-ini[LocSuf]
embi	embi[Adv]
embili	embili[Adv]
emfuno	emfuno[NStem]
emhlanganweni	e[LocPre]-mu[BPre]-hlangano[NStem]-ini[LocSuf]
emikhakheni	e[LocPre]-i[NPrePre]-mi[BPre]-khakha[NStem]-ini[LocSuf]
emisebentini	e[LocPre]-mi[BPre]-sebenti[NStem]-ini[LocSuf]
