!	![Punc]
"	"[Punc]
&	&[Punc]
'	'[Punc]
(	([Punc]
)	)[Punc]
,	,[Punc]
-	-[Punc]
-eli	eli[Dem+Pos]
.	.[Punc]
/	/[Punc]
000	000[Num]
1	1[Num]
1.1	1.1[Num]
100	100[Num]
15	15[Num]
152	152[Num]
18	18[Num]
195	195[Num]
1969	1969[Num]
1997	1997[Num]
1998	1998[Num]
1999	1999[Num]
2	2[Num]
2.2	2.2[Num]
2.3.2	2.3.2[Num]
2000	2000[Num]
2001	2001[Num]
2003	2003[Num]
2004	2004[Num]
2005	2005[Num]
2006	2006[Num]
2007	2007[Num]
21	21[Num]
24	24[Num]
25(1)	25(1)[Num]
27(4)	27(4)[Num]
27699	27699[Num]
29(b)	29(b)[Num]
3	3[Num]
3.1	3.1[Num]
32	32[Num]
38	38[Num]
39	39[Num]
4	4[Num]
5	5[Num]
5.6	5.6[Num]
6	6[Num]
68	68[Num]
7.00	7.00[Num]
74a	74a[Num]
9	9[Num]
90	90[Num]
:	:[Punc]
;	;[Punc]
?	?[Punc]
[	[[Punc]
]	][Punc]
a.	a.[Abbr]
aba	aba[Dem+Pos]
ababhexeshi	a[NPrePre]-ba[BPre]-bhexeshi[NStem]
abaninzi	aba[AdjPref]-ninzi[AdjStem]
abasebenzi	a[NPrePre]-ba[BPre]-sebenzi[NStem]
abathathi-nxaxheba	a[NPrePre]-ba[BPre]-thathi[NStem]-n[BPre]-xaxheba[NStem]
abc	abc[Abbr]
abo	abo[Dem+Pos]
achaphazelekayo	a[RelConc]-chaphazel[VRoot]-ek[NeutExt]-a[VerbTerm]-yo[RelSuf]
achievable	achievable[Foreign]
act	act[Foreign]
action	action[Foreign]
acts	acts[Foreign]
afana	a[SC]-fan[VRoot]-a[VerbTerm]
african	african[ProperName]
afrika	afrika[ProperName]
ahluka-hlukeneyo	a[RelConc]-ahluk[VRoot]-a[VerbTerm]-hluk[VRoot]-en[RecipExt]-e[VerbTerm]-yo[RelSuf]
ahlukeneyo	a[RelConc]-ahlukan[VRoot]-e[VerbTerm]-yo[RelSuf]
aids	aids[Abbr]
akhoyo	a[RelConc]-kho[Adv]-yo[RelSuf]
akukho	a[NegPre]-ku[CopPre]-kho[Adv]
amacandelo	a[NPrePre]-ma[BPre]-candelo[NStem]
amadoda	a[NPrePre]-ma[BPre]-doda[NStem]
amagosa	a[NPrePre]-ma[BPre]-gosa[NStem]
amakhosikazi	a[NPrePre]-ma[BPre]-khosikazi[NStem]
amalungelo	a[NPrePre]-ma[BPre]-lungelo[NStem]
amalungiselelo	a[NPrePre]-ma[BPre]-lungiselelo[NStem]
amalungu	a[NPrePre]-ma[BPre]-lungu[NStem]
amancinci	ama[AdjPref]-ncinci[AdjStem]
amaninzi	ama[AdjPref]-ninzi[AdjStem]
amanqaku	a[NPrePre]-ma[BPre]-nqaku[NStem]
amanyathelo	a[NPrePre]-ma[BPre]-nyathelo[NStem]
amanye	ama[AdjPref]-nye[AdjStem]
amanzi	a[NPrePre]-ma[BPre]-nzi[NStem]
amaqela	a[NPrePre]-ma[BPre]-qela[NStem]
amashishini	a[NPrePre]-ma[BPre]-shishini[NStem]
amathuba	a[NPrePre]-ma[BPre]-thuba[NStem]
amaxesha	a[NPrePre]-ma[BPre]-xesha[NStem]
amaziko	a[NPrePre]-ma[BPre]-ziko[NStem]
amazwe	a[NPrePre]-ma[BPre]-zwe[NStem]
and	and[Foreign]
apha	apha[Dem+Pos]
aphezulu	a[RelConc]-phezulu[Adv]
apho	apho[Dem+Pos]
areas	areas[Foreign]
arnstein	arnstein[ProperName]
asia	asia[ProperName]
association	association[Foreign]
athile	a[RelConc]-th[VRoot]-ile[Perf]
aze	a[SC]-ze[AuxVStem]
babo	ba[PossConc]-bo[PronStem]
bani	bani[Interrog]
banike	ba[SC]-nik[VRoot]-e[VerbTerm]
banzi	banzi[RelStem]
batho	batho[ProperName]
bay	bay[ProperName]
baze	ba[SC]-ze[AuxVStem]
bengingqi	ba[PossConc]-i[NPrePre]-n[BPre]-gingqi[NStem]
bewadi	ba[PossConc]-i[NPrePre]-wadi[NStem]
bhala	bhal[VRoot]-a[VerbTerm]
bomzantsi	ba[PossConc]-u[NPrePre]-mzantsi[ProperName]
bonke	bo[QuantConc]-nke[QuantStem]
bucala	bucala[Adv]
budgeting	budgeting[Foreign]
buthathaka	buthathaka[RelStem]
cala	cala[NStem]
candelo	candelo[NStem]
cape	cape[ProperName]
cbo	cbo[Abbr]
cbp	cbp[Abbr]
cdws	cdws[Abbr]
cela	cel[VRoot]-a[VerbTerm]
charters	charters[Foreign]
chatha	chatha[Ideoph]
chaza	chaz[VRoot]-a[VerbTerm]
chu	chu[Ideoph]
civics	civics[Foreign]
community-based	community-based[Foreign]
company	company[Foreign]
conflictus	conflictus[Foreign]
copy	copy[Foreign]
corporation	corporation[Foreign]
cpf	cpf[Abbr]
cwecwe	cwecwe[NStem]
cycle	cycle[Foreign]
dayagram	dayagram[NStem]
de	de[AuxVStem]
decision-makers	decision-makers[Foreign]
demarcation	demarcation[Foreign]
development	development[Foreign]
diesika	diesika[NStem]
dolophu	dolophu[NStem]
e	e[Abbr]
ebalulekileyo	e[RelConc]-balulek[VRoot]-il[Perf]-e[VerbTerm]-yo[RelSuf]
ebhunga	a[PossConc]-i[NPrePre]-bhunga[NStem]
ecac	ecac[Abbr]
edlulileyo	e[RelConc]-dlul[VRoot]-il[Perf]-e[VerbTerm]-yo[RelSuf]
efuna	e[RelConc]-fun[VRoot]-a[VerbTerm]
egameni	e[LocPre]-i[NPrePre]-gama[NStem]-ini[LocSuf]
ekhulwini	e[LocPre]-khulu[NStem]-ini[LocSuf]
ekomiti	a[PossConc]-i[NPrePre]-komiti[NStem]
ekubeni	ekubeni[Conj]
