!	![Punc]
"	"[Punc]
'	'[Punc]
(	([Punc]
)	)[Punc]
,	,[Punc]
-	-[Punc]
-195	195[Num]
-cbo	cbo[Abbr]
.	.[Punc]
/	/[Punc]
000	000[Num]
1	1[Num]
1.1	1.1[Num]
100	100[Num]
15	15[Num]
152	152[Num]
18	18[Num]
1994	1994[Num]
1998	1998[Num]
2	2[Num]
2.2	2.2[Num]
2.3.2	2.3.2[Num]
2000	2000[Num]
2005	2005[Num]
2006	2006[Num]
2007	2007[Num]
24	24[Num]
25(1)	25(1)[Num]
27699	27699[Num]
3	3[Num]
32	32[Num]
39	39[Num]
4	4[Num]
5	5[Num]
5.6	5.6[Num]
6	6[Num]
68	68[Num]
74a	74a[Num]
9	9[Num]
92	92[Num]
:	:[Punc]
;	;[Punc]
?	?[Punc]
[	[[Punc]
]	][Punc]
a	a[Abbr]
a.	a.[Foreign]
aba	aba[RelConc]
ababambe	aba[RelConc]-bamb[VRoot]-e[VerbTerm]
ababambiqhaza	a[NPrePre]-ba[BPre]-bambiqhaza[NStem]
abamnyama	aba[RelConc]-mnyama[RelStem]
abaningi	aba[AdjPref]-ningi[AdjStem]
abantu	a[NPrePre]-ba[BPre]-ntu[NStem]
abanye	aba[AdjPref]-nye[AdjStem]
abasebenza	aba[RelConc]-sebenz[VRoot]-a[VerbTerm]
abasebenzi	a[NPrePre]-ba[BPre]-sebenzi[NStem]
abc	abc[Abbr]
abesilisa	a[NPrePre]-be[BPre]-si[BPre]-lisa[NStem]
abo	a[PossConc]-bo[PronStem]
achievable	achievable[Foreign]
act	act[Foreign]
action	action[Foreign]
african	african[Foreign]
afrika	afrika[ProperName]
aids	aids[ProperName]
ake	ake[AuxVStem]
ama-kpi	a[NPrePre]-ma[BPre]-kpi[Abbr]
amabhizinisi	a[NPrePre]-ma[BPre]-bhizinisi[NStem]
amabili	ama[AdjPref]-bili[AdjStem]
amakhansela	a[NPrePre]-ma[BPre]-khansela[NStem]
amakhono	a[NPrePre]-ma[BPre]-khono[NStem]
amakomidi	a[NPrePre]-ma[BPre]-komidi[NStem]
amakomiti	a[NPrePre]-ma[BPre]-komiti[NStem]
amalungelo	a[NPrePre]-ma[BPre]-lungelo[NStem]
amalungu	a[NPrePre]-ma[BPre]-lungu[NStem]
amancane	ama[AdjPref]-ncane[AdjStem]
amandla	a[NPrePre]-ma[BPre]-ndla[NStem]
amaningi	ama[AdjPref]-ningi[AdjStem]
amanothi	a[NPrePre]-ma[BPre]-nothi[NStem]
amanye	ama[AdjPref]-nye[AdjStem]
amanzi	a[NPrePre]-ma[BPre]-nzi[NStem]
amaphrojekthi	a[NPrePre]-ma[BPre]-phrojekthi[NStem]
amaphuzu	a[NPrePre]-ma[BPre]-phuzu[NStem]
amaprojekthi	a[NPrePre]-ma[BPre]-projekthi[NStem]
amaqembu	a[NPrePre]-ma[BPre]-qembu[NStem]
amasu	a[NPrePre]-ma[BPre]-su[NStem]
amathuba	a[NPrePre]-ma[BPre]-thuba[NStem]
amawadi	a[NPrePre]-ma[BPre]-wadi[NStem]
amazinga	a[NPrePre]-ma[BPre]-zinga[NStem]
amazwe	a[NPrePre]-ma[BPre]-zwe[NStem]
and	and[Foreign]
aphezulu	a[RelConc]-phezulu[Adv]
aqinisekisa	a[SC]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]
aqinisekise	a[SC]-qinisek[VRoot]-is[CausExt]-e[VerbTerm]
arnstein	arnstein[ProperName]
athile	a[RelConc]-th[VRoot]-ile[Perf]
awo	a[PossConc]-wo[PronStem]
azi	a[SC]-az[VRoot]-i[VerbTerm]
b	b[Abbr]
babamba	ba[SC]-bamb[VRoot]-a[VerbTerm]
babe	ba[SC]-be[AuxVStem]
babo	ba[PossConc]-bo[PronStem]
bakahulumeni	ba[PossConc]-ka[PossKA]-u[NPrePre]-hulumeni[NStem]
bakamasipala	ba[PossConc]-ka[PossKA]-masipala[NStem]
banzi	banzi[NStem]
baseningizimu	ba[PossConc]-s[PreLoc-s]-e[LocPre]-ningizimu[ProperName]
batho	batho[ProperName]
bendawo	ba[PossConc]-i[NPrePre]-n[BPre]-dawo[NStem]
benza	ba[SC]-enz[VRoot]-a[VerbTerm]
bese	be[SC]-se[AuxVStem]
besifazane	ba[PossConc]-i[NPrePre]-si[BPre]-fazane[NStem]
bezidingo	ba[PossConc]-i[NPrePre]-zi[BPre]-dingo[NStem]
bheka	bhek[VRoot]-a[VerbTerm]
bhubhane	bhubhane[NStem]
bohlelo	ba[PossConc]-u[NPrePre]-hlelo[NStem]
bomphakathi	ba[PossConc]-u[NPrePre]-m[BPre]-phakathi[Adv]
bonke	bo[QuantConc]-nke[QuantStem]
c	c[Abbr]
cabinet	cabinet[Foreign]
cape	cape[ProperName]
cbp	cbp[Abbr]
cdws	cdws[Abbr]
cela	cel[VRoot]-a[VerbTerm]
chaza	chaz[VRoot]-a[VerbTerm]
cishe	cishe[Adv]
civics	civics[Foreign]
commissions	commissions[Foreign]
committee	committee[Foreign]
communications	communications[Foreign]
community	community[Foreign]
community-based	community-based[Foreign]
conflictus	conflictus[Foreign]
context	context[Foreign]
corporation	corporation[Foreign]
cpf	cpf[Abbr]
creep	creep[Foreign]
cwaningo	cwaningo[NStem]
cycle	cycle[Foreign]
daba	daba[NStem]
decision-makers	decision-makers[Foreign]
declaration	declaration[NStem]
delivery	delivery[Foreign]
development	development[Foreign]
dioxide	dioxide[Foreign]
district	district[Foreign]
divide	divide[Foreign]
dolobha	dolobha[NStem]
e	e[Abbr]
ebalulekile	e[RelConc]-balulek[VRoot]-il[Perf]-e[VerbTerm]
ebese	ebese[Conj]
ecac	ecac[Abbr]
egxile	igxile[NStem]
ekade	ekade[NStem]
ekhabhoni	ekhabhoni[NStem]
ekubeni	ekubeni[Conj]
