word	seg	parse
Ngetulu	nga-tulu	nga[AdvPre]-tulu[Adv]
kwaloko	kwa-loko	kwa[PossConc15]-loko[Dem15][Pos2]
,	,	,[Punc]
kuba	ku-b-a	ku[BPre15]-b[VRoot]-a[VerbTerm]
khona	khona	khona[Conj]
kuniketela	ku-niket-el-a	ku[BPre15]-niket[VRoot]-el[ApplExt]-a[VerbTerm]
kwekwakhiwa	kwe-ku-akh-iw-a	kwe[PossConc15]-ku[BPre15]-akh[VRoot]-iw[PassExt]-a[VerbTerm]
kwemaKomidi	kwe-ma-komidi	kwe[PossConc15]-ma[BPre6]-komidi[NStem]
emaWadi	e-ma-wadi	e[NPrePre6]-ma[BPre6]-wadi[NStem]
,	,	,[Punc]
njengemitimba	njenga-i-mi-timba	njenga[AdvPre]-i[NPrePre4]-mi[BPre4]-timba[NStem]
yamasipala	ya-masipala	ya[PossConc4]-masipala[NStem]
lelulekako	le-lulek-a-ko	le[PossConc5]-lulek[VRoot]-a[VerbTerm]-ko[RelSuf]
kanye	kanye	kanye[Adv]
nalabamele	na-laba-im-el-e	na[AdvPre]-laba[RelConc2]-im[VRoot]-el[ApplExt]-e[VerbTerm]
ummango	u-mu-mango	u[NPrePre3]-mu[BPre3]-mango[NStem]
kute	kute	kute[Conj]
kuhanjiswe	ku-hamb-is-w-e	ku[SC15]-hamb[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]
tidzingo	ti-dzingo	ti[BPre8]-dzingo[NStem]
netiphakamiso	na-ti-phakamiso	na[AdvPre]-ti[BPre8]-phakamiso[NStem]
temmango	ta-u-mu-mango	ta[PossConc8]-u[NPrePre3]-mu[BPre3]-mango[NStem]
kumkhandlu	ku-mu-khandlu	ku[LocPre]-mu[BPre3]-khandlu[NStem]
.	.	.[Punc]
Luhlelo	lu-hlelo	lu[BPre11]-hlelo[NStem]
lweliwadi	lwe-li-wadi	lwe[PossConc11]-li[BPre5]-wadi[NStem]
lolumphacambili	lolu-m-phacambili	lolu[Dem11][Pos1]-m[BPre3]-phacambili[NStem]
kanye	kanye	kanye[Adv]
nekumelwa	na-ku-mel-w-a	na[AdvPre]-ku[OC15]-mel[VRoot]-w[PassExt]-a[VerbTerm]
ngalokulinganako	nga-loku-linganako	nga[AdvPre]-loku[Dem15][Pos1]-linganako[NStem]
kusho	ku-sh-o	ku[SC15]-sh[VRoot]-o[VerbTerm]
kutsi	kutsi	kutsi[Conj]
imimango	i-mi-mango	i[NPrePre4]-mi[BPre4]-mango[NStem]
ikhetse	i-khets-e	i[SC4]-khets[VRoot]-e[VerbTerm]
ngco	ngco	ngco[Ideoph]
labayimele	laba-yi-mel-e	laba[RelConc2]-yi[CopPre]-mel[VRoot]-e[VerbTerm]
nalokumele	na-loku-mel-e	na[AdvPre]-loku[RelConc15]-mel[VRoot]-e[VerbTerm]
batiphendvulele	ba-ti-phendvul-el-e	ba[SC2]-ti[ReflPre]-phendvul[VRoot]-el[ApplExt]-e[VerbTerm]
kuyo	ku-yo	ku[LocPre]-yo[PronStem9]
,	,	,[Punc]
labatawuhambisa	laba-tawu-hamb-is-a	laba[RelConc2]-tawu[Fut]-hamb[VRoot]-is[CausExt]-a[VerbTerm]
futsi	futsi	futsi[Conj]
babukane	ba-buk-an-e	ba[CopPre]-buk[VRoot]-an[RecipExt]-e[VerbTerm]
netikhalo	na-ti-khalo	na[AdvPre]-ti[BPre8]-khalo[NStem]
tabo	ta-bo	ta[PossConc10]-bo[PronStem14]
.	.	.[Punc]
Chaza	chaz-a	chaz[VRoot]-a[VerbTerm]
tindlela	tin-dlela	tin[BPre10]-dlela[NStem]
letehlukene	leti-ehluk-an-ile	leti[RelConc8]-ehluk[VRoot]-an[RecipExt]-ile[Perf]
ekushayisaneni	e-ku-shay-is-an-a-ini	e[LocPre]-ku[OC15]-shay[VRoot]-is[CausExt]-an[RecipExt]-a[VerbTerm]-ini[LocSuf]
.	.	.[Punc]
Kongela	k-ong-el-a	k[AdvPre]-ong[VRoot]-el[ApplExt]-a[VerbTerm]
umhlalaphasi	u-mhlalaphasi	u[NPrePre1a]-mhlalaphasi[NStem]
neligebe	ne-li-gebe	ne[AdvPre]-li[BPre5]-gebe[NStem]
lenzuzo	le-n-zuzo	le[PossConc5]-n[BPre9]-zuzo[NStem]
yengoti	ye-ngoti	ye[PossConc9]-ngoti[NStem]
kumele	ku-mel-e	ku[SC15]-mel[VRoot]-e[VerbTerm]
kuvaleke	ku-val-ek-e	ku[SC15]-val[VRoot]-ek[NeutExt]-e[VerbTerm]
ngekuhlelwa	nga-ku-hlel-w-a	nga[AdvPre]-ku[BPre15]-hlel[VRoot]-w[PassExt]-a[VerbTerm]
kabusha	ka-bu-sha	ka[AdvPre]-bu[BPre14]-sha[AdjStem]
,	,	,[Punc]
kufaka	ku-fak-a	ku[BPre15]-fak[VRoot]-a[VerbTerm]
ekhatsi	e-khatsi	e[LocPre]-khatsi[Adv]
imali	i-mali	i[NPre9]-mali[NStem]
lekhokhwako	le-khokh-w-a-ko	le[PossConc5]-khokh[VRoot]-w[PassExt]-a[VerbTerm]-ko[RelSuf]
lephocelekile	le-phocelek-ile	le[PossConc5]-phocelek[VRoot]-ile[Perf]
ngekutsi	nga-kutsi	nga[AdvPre]-kutsi[Conj]
kubhekwe	ku-bhek-w-e	ku[SC15]-bhek[VRoot]-w[PassExt]-e[VerbTerm]
kwelekelelwa	kwa-elekel-el-w-a	kwa[PossConc15]-elekel[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
ngetimali	nga-ti-mali	nga[AdvPre]-ti[BPre10]-mali[NStem]
letifakwako	leti-fak-w-a-ko	leti[RelConc10]-fak[VRoot]-w[PassExt]-a[VerbTerm]-ko[RelSuf]
kutisebenti	ku-ti-sebenti	ku[BPre17]-ti[BPre10]-sebenti[NStem]
letihola	leti-hol-a	leti[RelConc8]-hol[VRoot]-a[VerbTerm]
kancane	ka-ncane	ka[AdvPre]-ncane[AdjStem]
nobe	nobe	nobe[Conj]
kutisebenti	ku-ti-sebenti	ku[BPre17]-ti[BPre10]-sebenti[NStem]
tesikhashana	t-e-isikhashana	t[PossConc10]-e[LocPre]-isikhashana[NStem]
.	.	.[Punc]
Letinye	leti-nye	leti[AdjPref8]-nye[AdjStem]
timali	ti-mali	ti[BPre10]-mali[NStem]
tekwebolekwa	te-kwe-bolek-w-a	te[PossConc10]-kwe[BPre15]-bolek[VRoot]-w[PassExt]-a[VerbTerm]
ngaphandle	nga-phandle	nga[AdvPre]-phandle[Adv]
titfolakala	ti-tfol-akal-a	ti[SC10]-tfol[VRoot]-akal[NeutExt]-a[VerbTerm]
etimakethe	a-tin-ma-kethe	a[RelConc6]-tin[BPre10]-ma[BPre3]-kethe[NStem]
tesicalo	te-si-calo	te[PossConc8]-si[NPre7]-calo[NStem]
njengemabhange	njenge-ma-bhange	njenge[Comp]-ma[NPre6]-bhange[NStem]
emabhizinisi	e-ma-bhizinisi	e[NPrePre6]-ma[BPre6]-bhizinisi[NStem]
.	.	.[Punc]
Labanengi	laba-nengi	laba[AdjPref2]-nengi[AdjStem]
bomasipala	bo-masipala	bo[BPre2a]-masipala[NStem]
abakwati	a-ba-ku-at-i	a[NegPre]-ba[SC2]-ku[OC15]-at[VRoot]-i[VerbTerm]
kweboleka	kwe-bolek-a	kwe[SC15]-bolek[VRoot]-a[VerbTerm]
,	,	,[Punc]
lokwenta	loku-ent-a	loku[RelConc15]-ent[VRoot]-a[VerbTerm]
kube	ku-be	ku[SC15]-be[AuxVStem]
lukhuni	lukhuni	lukhuni[Adv]
kutsi	kutsi	kutsi[Conj]
bangaboleka	ba-nga-bol-ek-a	ba[SC2a]-nga[Pot]-bol[VRoot]-ek[NPas]-a[VerbTerm]
imali	i-mali	i[NPre9]-mali[NStem]
.	.	.[Punc]
Hulumende	hulumende	hulumende[NStem]
kusamele	ku-sa-mel-e	ku[SC15]-sa[ProgPre]-mel[VRoot]-e[VerbTerm]
atfole	a-tfol-e	a[SC1]-tfol[VRoot]-e[VerbTerm]
tindlela	tin-dlela	tin[BPre10]-dlela[NStem]
tekuncoba	te-ku-ncob-a	te[PossConc10]-ku[BPre15]-ncob[VRoot]-a[VerbTerm]
letinkinga	leti-n-kinga	leti[RelConc10]-n[BPre9]-kinga[NStem]
leti	leti	leti[Dem10][Pos1]
.	.	.[Punc]
Kwakhiwa	ku-akh-iw-a	ku[BPre15]-akh[VRoot]-iw[PassExt]-a[VerbTerm]
kwemncamulajucu	kwa-m-ncamulajucu	kwa[PossConc15]-m[BPre3]-ncamulajucu[NStem]
wesikhatsi	wa-si-khatsi	wa[PossConc3]-si[BPre7]-khatsi[NStem]
wemmango	wa-m-mango	wa[PossConc3]-m[BPre3]-mango[NStem]
,	,	,[Punc]
kuhlatiywa	ku-hlatiy-w-a	ku[BPre15]-hlatiy[VRoot]-w[PassExt]-a[VerbTerm]
kwemikhuba	kwa-mi-khuba	kwa[PossConc15]-mi[BPre4]-khuba[NStem]
yeminyaka	ya-i-mi-nyaka	ya[PossConc4]-i[NPrePre4]-mi[BPre4]-nyaka[NStem]
