Ngetulu	nga[AdvPre]-tulu[Adv]	nga_tulu	AdvPre_Adv
kwaloko	kwa[PossConc15]-loko[Dem15][Pos2]	kwa_loko	PossConc15_Dem15_Pos2
,	,[Punc]	,	Punc
kuba	ku[BPre15]-b[VRoot]-a[VerbTerm]	ku_b_a	BPre15_VRoot_VerbTerm
khona	khona[Conj]	khona	Conj
kuniketela	ku[BPre15]-niket[VRoot]-el[ApplExt]-a[VerbTerm]	ku_niket_el_a	BPre15_VRoot_ApplExt_VerbTerm
kwekwakhiwa	kwe[PossConc15]-ku[BPre15]-akh[VRoot]-iw[PassExt]-a[VerbTerm]	kwe_ku_akh_iw_a	PossConc15_BPre15_VRoot_PassExt_VerbTerm
kwemaKomidi	kwe[PossConc15]-ma[BPre6]-komidi[NStem]	kwe_ma_komidi	PossConc15_BPre6_NStem
emaWadi	e[NPrePre6]-ma[BPre6]-wadi[NStem]	e_ma_wadi	NPrePre6_BPre6_NStem
,	,[Punc]	,	Punc
njengemitimba	njenga[AdvPre]-i[NPrePre4]-mi[BPre4]-timba[NStem]	njenga_i_mi_timba	AdvPre_NPrePre4_BPre4_NStem
yamasipala	ya[PossConc4]-masipala[NStem]	ya_masipala	PossConc4_NStem
lelulekako	le[PossConc5]-lulek[VRoot]-a[VerbTerm]-ko[RelSuf]	le_lulek_a_ko	PossConc5_VRoot_VerbTerm_RelSuf
kanye	kanye[Adv]	kanye	Adv
nalabamele	na[AdvPre]-laba[RelConc2]-im[VRoot]-el[ApplExt]-e[VerbTerm]	na_laba_im_el_e	AdvPre_RelConc2_VRoot_ApplExt_VerbTerm
ummango	u[NPrePre3]-mu[BPre3]-mango[NStem]	u_mu_mango	NPrePre3_BPre3_NStem
kute	kute[Conj]	kute	Conj
kuhanjiswe	ku[SC15]-hamb[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]	ku_hamb_is_w_e	SC15_VRoot_CausExt_PassExt_VerbTerm
