Ngetulu	Nge[AdvPre]tulu[Adv]	Nge_tulu	AdvPre_Adv
kwaloko	kwaloko[POSS15]	kwaloko	POSS15
,	,[PUNC]	,	PUNC
kuba	ku[BPre15]b[VRoot]a[VerbTerm]	ku_b_a	BPre15_VRoot_VerbTerm
khona	khona[Conj]	khona	Conj
kuniketela	ku[BPre15]niket[VRoot]el[ApplExt]a[VerbTerm]	ku_niket_el_a	BPre15_VRoot_ApplExt_VerbTerm
kwekwakhiwa	kwe[PossConc15]kw[BPre15]akh[VRoot]iw[PassExt]a[VerbTerm]	kwe_kw_akh_iw_a	PossConc15_BPre15_VRoot_PassExt_VerbTerm
kwemaKomidi	kwe[PossConc15]ma[BPre6]komidi[NStem]	kwe_ma_komidi	PossConc15_BPre6_NStem
emaWadi	e[NPrePre6]ma[BPre6]wadi[NStem]	e_ma_wadi	NPrePre6_BPre6_NStem
,	,[PUNC]	,	PUNC
njengemitimba	njenge[AdvPre]mi[BPre4]timba[NStem]	njenge_mi_timba	AdvPre_BPre4_NStem
yamasipala	ya[PossConc4]masipala[NStem]	ya_masipala	PossConc4_NStem
lelulekako	le[PossConc5]lulek[VRoot]a[VerbTerm]ko[RelSuf]	le_lulek_a_ko	PossConc5_VRoot_VerbTerm_RelSuf
kanye	kanye[Adv]	kanye	Adv
nalabamele	na[AdvPre]laba[RelConc2]m[VRoot]el[ApplExt]e[VerbTerm]	na_laba_m_el_e	AdvPre_RelConc2_VRoot_ApplExt_VerbTerm
ummango	u[NPrePre3]m[BPre3]mango[NStem]	u_m_mango	NPrePre3_BPre3_NStem
kute	kute[Conj]	kute	Conj
kuhanjiswe	ku[SC15]hanj[VRoot]is[CausExt]w[PassExt]e[VerbTerm]	ku_hanj_is_w_e	SC15_VRoot_CausExt_PassExt_VerbTerm
tidzingo	ti[BPre8]dzingo[NStem]	ti_dzingo	BPre8_NStem
netiphakamiso	ne[AdvPre]ti[BPre8]phakamiso[NStem]	ne_ti_phakamiso	AdvPre_BPre8_NStem
temmango	te[PossConc8]m[BPre3]mango[NStem]	te_m_mango	PossConc8_BPre3_NStem
kumkhandlu	ku[LocPre]m[BPre3]khandlu[NStem]	ku_m_khandlu	LocPre_BPre3_NStem
.	.[PUNC]	.	PUNC
Luhlelo	lu[BPre11]hlelo[NStem]	lu_hlelo	BPre11_NStem
lweliwadi	lwe[PossConc11]li[BPre5]wadi[NStem]	lwe_li_wadi	PossConc11_BPre5_NStem
lolumphacambili	lolumphacambili[CDEM11]	lolumphacambili	CDEM11
kanye	kanye[Adv]	kanye	Adv
nekumelwa	ne[AdvPre]ku[OC15]mel[VRoot]w[PassExt]a[VerbTerm]	ne_ku_mel_w_a	AdvPre_OC15_VRoot_PassExt_VerbTerm
ngalokulinganako	ngalokulinganako[ADV]	ngalokulinganako	ADV
kusho	ku[SC15]sh[VRoot]o[VerbTerm]	ku_sh_o	SC15_VRoot_VerbTerm
kutsi	kutsi[Conj]	kutsi	Conj
imimango	i[NPrePre4]mi[BPre4]mango[NStem]	i_mi_mango	NPrePre4_BPre4_NStem
ikhetse	i[SC4]khets[VRoot]e[VerbTerm]	i_khets_e	SC4_VRoot_VerbTerm
ngco	ngco[Ideoph]	ngco	Ideoph
labayimele	laba[RelConc2]yi[CopPre]mel[VRoot]e[VerbTerm]	laba_yi_mel_e	RelConc2_CopPre_VRoot_VerbTerm
nalokumele	na[AdvPre]loku[RelConc15]mel[VRoot]e[VerbTerm]	na_loku_mel_e	AdvPre_RelConc15_VRoot_VerbTerm
batiphendvulele	ba[SC2]ti[ReflPre]phendvul[VRoot]el[ApplExt]e[VerbTerm]	ba_ti_phendvul_el_e	SC2_ReflPre_VRoot_ApplExt_VerbTerm
kuyo	ku[LocPre]yo[PronStem9]	ku_yo	LocPre_PronStem9
,	,[PUNC]	,	PUNC
labatawuhambisa	laba[RelConc2]tawu[Fut]hamb[VRoot]is[CausExt]a[VerbTerm]	laba_tawu_hamb_is_a	RelConc2_Fut_VRoot_CausExt_VerbTerm
futsi	futsi[Conj]	futsi	Conj
babukane	ba[CopPre]buk[VRoot]an[RecipExt]e[VerbTerm]	ba_buk_an_e	CopPre_VRoot_RecipExt_VerbTerm
netikhalo	ne[AdvPre]ti[BPre8]khalo[NStem]	ne_ti_khalo	AdvPre_BPre8_NStem
tabo	ta[PossConc10]bo[PronStem14]	ta_bo	PossConc10_PronStem14
.	.[PUNC]	.	PUNC
Chaza	chaz[VRoot]a[VerbTerm]	chaz_a	VRoot_VerbTerm
tindlela	tin[BPre10]dlela[NStem]	tin_dlela	BPre10_NStem
letehlukene	let[RelConc8]ehluk[VRoot]en[RecipExt]e[Perf]	let_ehluk_en_e	RelConc8_VRoot_RecipExt_Perf
ekushayisaneni	e[LocPre]ku[OC15]shay[VRoot]is[CausExt]ane[RecipExt]ni[VerbTerm]	e_ku_shay_is_ane_ni	LocPre_OC15_VRoot_CausExt_RecipExt_VerbTerm
.	.[PUNC]	.	PUNC
Kongela	k[AdvPre]ong[VRoot]el[ApplExt]a[VerbTerm]	k_ong_el_a	AdvPre_VRoot_ApplExt_VerbTerm
umhlalaphasi	u[NPrePre1a]mhlalaphasi[NStem]	u_mhlalaphasi	NPrePre1a_NStem
neligebe	ne[AdvPre]li[BPre5]gebe[NStem]	ne_li_gebe	AdvPre_BPre5_NStem
lenzuzo	le[PossConc5]n[BPre9]zuzo[NStem]	le_n_zuzo	PossConc5_BPre9_NStem
yengoti	ye[PossConc9]ngoti[NStem]	ye_ngoti	PossConc9_NStem
kumele	ku[SC15]mel[VRoot]e[VerbTerm]	ku_mel_e	SC15_VRoot_VerbTerm
kuvaleke	ku[SC15]val[VRoot]ek[NeutExt]e[VerbTerm]	ku_val_ek_e	SC15_VRoot_NeutExt_VerbTerm
ngekuhlelwa	nge[AdvPre]ku[BPre15]hlel[VRoot]w[PassExt]a[VerbTerm]	nge_ku_hlel_w_a	AdvPre_BPre15_VRoot_PassExt_VerbTerm
kabusha	ka[AdvPre]bu[BPre14]sha[AdjStem]	ka_bu_sha	AdvPre_BPre14_AdjStem
,	,[PUNC]	,	PUNC
kufaka	ku[BPre15]fak[VRoot]a[VerbTerm]	ku_fak_a	BPre15_VRoot_VerbTerm
