word	seg	parse
Ukongeza	u-ku-ongez-a	u[NPrePre15]-ku[BPre15]-ongez[VRoot]-a[VerbTerm]
,	,	,[Punc]
enziwe	enz-iw-e	enz[VRoot]-iw[PassExt]-e[VerbTerm]
namalungiselelo	na-a-ma-lungiselelo	na[AdvPre]-a[NPrePre6]-ma[BPre6]-lungiselelo[NStem]
okumisela	oku-(i)m-is-el-a	oku[RelConc15]-(i)m[VRoot]-is[CausExt]-el[ApplExt]-a[VerbTerm]
iikomiti	i-(z)i-komiti	i[NPrePre10]-(z)i[BPre10]-komiti[NStem]
zewadi	za-i-wadi	za[PossConc10]-i[NPrePre9]-wadi[NStem]
,	,	,[Punc]
njengamaqumrhu	njenga-a-ma-qumrhu	njenga[AdvPre]-a[NPrePre6]-ma[BPre6]-qumrhu[NStem]
acebisayo	a-cebis-a-yo	a[RelConc6]-cebis[VRoot]-a[VerbTerm]-yo[RelSuf]
enziwe	enz-iw-e	enz[VRoot]-iw[PassExt]-e[VerbTerm]
ngabathunywa	ng-a-ba-thum-w-a	ng[CopPre]-a[NPrePre2]-ba[BPre2]-thum[VRoot]-w[PassExt]-a[VerbTerm]
abaphuma	aba-phum-a	aba[RelConc2]-phum[VRoot]-a[VerbTerm]
kumasipala	ku-u-masipala	ku[LocPre]-u[NPrePre1a]-masipala[NStem]
nakubahlali	na-ku-ba-hlali	na[AdvPre]-ku[LocPre]-ba[BPre2]-hlali[NStem]
ukuhambisa	u-ku-hamb-is-a	u[NPrePre15]-ku[BPre15]-hamb[VRoot]-is[CausExt]-a[VerbTerm]
ngendlela	nga-i-n-dlela	nga[AdvPre]-i[NPrePre9]-n[BPre9]-dlela[NStem]
izidingo	i-zi-dingo	i[NPrePre8]-zi[BPre8]-dingo[NStem]
zabahlali	za-a-ba-hlali	za[PossConc8]-a[NPrePre2]-ba[BPre2]-hlali[NStem]
nokunika	na-u-ku-nik-a	na[AdvPre]-u[NPrePre15]-ku[BPre15]-nik[VRoot]-a[VerbTerm]
izincomo	i-zin-como	i[NPrePre10]-zin[BPre10]-como[NStem]
kwibhunga	ku-i-(li)-bhunga	ku[LocPre]-i[NPrePre5]-(li)[BPre5]-bhunga[NStem]
.	.	.[Punc]
Inkqubo	i-n-kqubo	i[NPrePre9]-n[BPre9]-kqubo[NStem]
entlantlu-mbini	e-n-tlantlu-m-bini	e[RelConc9]-n[BPre9]-tlantlu[RelStem]-m[AdjPref10]-bini[AdjStem]
yewadi	ya-i-wadi	ya[PossConc9]-i[NPrePre9]-wadi[NStem]
nabathunywa	na-a-ba-thum-w-a	na[AdvPre]-a[NPrePre2]-ba[BPre2]-thum[VRoot]-w[PassExt]-a[VerbTerm]
eyakhiwe	e-yi-akh-iw-e	e[RelConc9]-yi[SC9]-akh[VRoot]-iw[PassExt]-e[VerbTerm]
ngolwalamano	nga-u-lu-alamano	nga[AdvPre]-u[NPrePre11]-lu[BPre11]-alamano[NStem]
ithetha	i-theth-a	i[SC9]-theth[VRoot]-a[VerbTerm]
ukuba	ukuba	ukuba[Conj]
abahlali	a-ba-hlali	a[NPrePre2]-ba[BPre2]-hlali[NStem]
banabathunywa	ba-na-a-ba-thum-w-a	ba[CopPre]-na[CopPre]-a[NPrePre2]-ba[BPre2]-thum[VRoot]-w[PassExt]-a[VerbTerm]
ababanyulileyo	aba-ba-nyul-il-e-yo	aba[RelConc2]-ba[OC2]-nyul[VRoot]-il[Perf]-e[VerbTerm]-yo[RelSuf]
nabaphendula	na-ba-phendul-a	na[AdvPre]-ba[SC2]-phendul[VRoot]-a[VerbTerm]
kubo	ku-bo	ku[LocPre]-bo[PronStem2]
,	,	,[Punc]
abaza	aba-za	aba[RelConc2]-za[AuxVStem]
kuhambisa	ku-hamb-is-a	ku[SC15]-hamb[VRoot]-is[CausExt]-a[VerbTerm]
bade	ba-de	ba[SC2]-de[AuxVStem]
baqwalasele	ba-qwalasel-e	ba[SC2]-qwalasel[VRoot]-e[VerbTerm]
okuchaphazela	oku-chaphazel-a	oku[RelConc15]-chaphazel[VRoot]-a[VerbTerm]
abahlali	a-ba-hlali	a[NPrePre2]-ba[BPre2]-hlali[NStem]
.	.	.[Punc]
Chaza	chaz-a	chaz[VRoot]-a[VerbTerm]
ubuchule	u-bu-chule	u[NPrePre14]-bu[BPre14]-chule[NStem]
obahlukeneyo	obu-ahlukan-e-yo	obu[RelConc14]-ahlukan[VRoot]-e[VerbTerm]-yo[RelSuf]
kungquzulwano	ku-u-ngquzulwano	ku[LocPre]-u[NPrePre11]-ngquzulwano[NStem]
.	.	.[Punc]
Ukonga	u-ku-ong-a	u[NPrePre15]-ku[BPre15]-ong[VRoot]-a[VerbTerm]
komhlalaphantsi	kwa-u-m-hlalaphantsi	kwa[PossConc15]-u[NPrePre3]-m[BPre3]-hlalaphantsi[NStem]
nomsantsa	na-u-m-santsa	na[AdvPre]-u[NPrePre3]-m[BPre3]-santsa[NStem]
wenzuzo	wa-i-n-zuzo	wa[PossConc3]-i[NPrePre9]-n[BPre9]-zuzo[NStem]
yomngcipheko	ya-u-m-ngcipheko	ya[PossConc3]-u[NPrePre3]-m[BPre3]-ngcipheko[NStem]
kumele	ku-mele	ku[SC15]-mele[AuxVStem]
uvalwe	u-val-w-e	u[NPrePre3]-val[VRoot]-w[PassExt]-e[VerbTerm]
ngokulungiswa	nga-u-ku-lung-is-w-a	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-lung[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
,	,	,[Punc]
kuquka	ku-quk-a	ku[SC15]-quk[VRoot]-a[VerbTerm]
