word	seg	parse
Ukwengeza	u-kw-engez-a	u[NPrePre15]-kw[BPre15]-engez[VRoot]-a[VerbTerm]
kulokhu	ku-lokhu	ku[LocPre]-lokhu[Dem15][Pos1]
,	,	,[Punc]
imibandela	i-mi-bandela	i[NPrePre4]-mi[BPre4]-bandela[NStem]
iyenziwa	i-ye-enz-iw-a	i[SC4]-ye[Pres]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
ukwakha	u-kw-akh-a	u[NPrePre15]-kw[BPre15]-akh[VRoot]-a[VerbTerm]
amakomiti	a-ma-komiti	a[NPrePre6]-ma[BPre6]-komiti[NStem]
amawadi	a-ma-wadi	a[NPrePre6]-ma[BPre6]-wadi[NStem]
,	,	,[Punc]
njengezinhlangano	njenga-i-zin-hlangano	njenga[AdvPre]-i[NPrePre10]-zin[BPre10]-hlangano[NStem]
ezelulekayo	ezi-lulek-a-yo	ezi[RelConc10]-lulek[VRoot]-a[VerbTerm]-yo[RelSuf]
,	,	,[Punc]
lawa	lawa	lawa[Dem6][Pos2]
maqembu	ma-qembu	ma[BPre6]-qembu[NStem]
ahlanganisa	a-hlangan-is-a	a[SC6]-hlangan[VRoot]-is[CausExt]-a[VerbTerm]
abamele	aba-mel-e	aba[RelConc2]-mel[VRoot]-e[VerbTerm]
umasipala	u-masipala	u[BPre1a]-masipala[NStem]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
nomphakathi	no-u-mu-phakathi	no[AdvPre]-u[NPrePre3]-mu[BPre3]-phakathi[NStem]
ukuba	ukuba	ukuba[Conj]
badlulise	ba-dlul-is-e	ba[SC2a]-dlul[VRoot]-is[CausExt]-e[VerbTerm]
izidingo	i-zi-dingo	i[NPrePre8]-zi[BPre8]-dingo[NStem]
zomphakathi	zo-u-mu-phakathi	zo[PossConc10]-u[NPrePre3]-mu[BPre3]-phakathi[NStem]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
neziphakamiso	ne-i-zi-phakamiso	ne[AdvPre]-i[NPrePre8]-zi[BPre8]-phakamiso[NStem]
ziye	zi-y-e	zi[SC8]-y[VRoot]-e[VerbTerm]
kumkhandlu	ku-m-khandlu	ku[LocPre]-m[BPre1]-khandlu[NStem]
.	.	.[Punc]
Indlela	i-n-dlela	i[NPrePre9]-n[BPre9]-dlela[NStem]
esebenza	e-sebenz-a	e[RelConc9]-sebenz[VRoot]-a[VerbTerm]
ngakubili	ngaku-bili	ngaku[AdvPre]-bili[AdjStem]
yewadi	ya-i-wadi	ya[PossConc4]-i[NPrePre5]-wadi[NStem]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
nokumela	no-ku-mel-a	no[CopPre]-ku[SC15]-mel[Intrans]-a[VerbTerm]
ngokulingana	nga-u-ku-lingana	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-lingana[NStem]
kusho	ku-sho	ku[LocPre]-sho[NStem]
ukuthi	u-ku-th-i	u[NPrePre15]-ku[BPre15]-th[VRoot]-i[VerbTerm]
imiphakathi	i-mi-phakathi	i[NPrePre4]-mi[BPre4]-phakathi[NStem]
ikhethe	i-kheth-e	i[SC4]-kheth[VRoot]-e[VerbTerm]
ngqo	ngqo	ngqo[Ideoph]
abayimele	aba-yi-mel-e	aba[RelConc2]-yi[CopPre]-mel[VRoot]-e[VerbTerm]
abanesibopho	aba-ne-si-bopho	aba[RelConc2]-ne[CopPre]-si[BPre7]-bopho[NStem]
kubo	ku-bo	ku[LocPre]-bo[PronStem2]
ukuba	ukuba	ukuba[Conj]
badlulise	ba-dlul-is-e	ba[SC2a]-dlul[VRoot]-is[CausExt]-e[VerbTerm]
futhi	futhi	futhi[Conj]
babike	ba-bik-e	ba[SC2]-bik[VRoot]-e[VerbTerm]
ukukhathazeka	u-ku-khathaz-ek-a	u[NPrePre15]-ku[BPre15]-khathaz[VRoot]-ek[NeutExt]-a[VerbTerm]
kwabo	kwa-bo	kwa[PossConc15]-bo[PronStem2]
.	.	.[Punc]
Chaza	chaz-a	chaz[VRoot]-a[VerbTerm]
izindlela	i-zin-dlela	i[NPrePre10]-zin[BPre10]-dlela[NStem]
ezahlukene	ezi-ahluk-an-il-e	ezi[RelConc10]-ahluk[VRoot]-an[RecipExt]-il[Perf]-e[VerbTerm]
zokubhekana	za-u-ku-bhek-an-a	za[PossConc8]-u[NPrePre15]-ku[BPre15]-bhek[VRoot]-an[RecipExt]-a[VerbTerm]
nengxabano	na-i-ngxabano	na[AdvPre]-i[NPrePre9]-ngxabano[NStem]
.	.	.[Punc]
Ukongela	U-ku-ong-el-a	U[SC1a]-ku[BPre15]-ong[VRoot]-el[ApplExt]-a[VerbTerm]
umhlalaphansi	umhlalaphansi	umhlalaphansi[NStem]
negebe	na-igebe	na[AdvPre]-igebe[NStem]
lobungozi	la-u-bu-ngozi	la[PossConc5]-u[NPrePre14]-bu[BPre14]-ngozi[NStem]
benzuzo	ba-i-nzuzo	ba[PossConc2]-i[NPrePre9]-nzuzo[NStem]
kumele	ku-mel-e	ku[SC15]-mel[VRoot]-e[VerbTerm]
kuvalwe	ku-val-w-e	ku[SC15]-val[VRoot]-w[PassExt]-e[VerbTerm]
ngezinguquko	nga-i-zin-guquko	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-guquko[NStem]
kubandakanya	ku-bandakany-a	ku[SC15]-bandakany[VRoot]-a[VerbTerm]
neminikelo	na-i-mi-nikelo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-nikelo[NStem]
okumele	oku-m-el-e	oku[RelConc15]-m[VRoot]-el[ApplExt]-e[VerbTerm]
ifakwe	i-fak-w-e	i[SC9]-fak[VRoot]-w[PassExt]-e[VerbTerm]
,	,	,[Punc]
kubhekelelwe	ku-bhek-elel-w-e	ku[SC15]-bhek[VRoot]-elel[IntensExt]-w[PassExt]-e[VerbTerm]
kakhulu	ka-khulu	ka[AdvPre]-khulu[AdjStem]
ekuxhaseni	e-kuxhas-a-ini	e[RelConc9]-kuxhas[Intrans]-a[VerbTerm]-ini[LocSuf]
leyo	leyo	leyo[Dem4][Pos2]
minikelo	mi-nikelo	mi[BPre4]-nikelo[NStem]
kulabo	ku-labo	ku[LocPre]-labo[Dem2][Pos3]
abahola	aba-hol-a	aba[RelConc2]-hol[VRoot]-a[VerbTerm]
kancane	ka-ncane	ka[AdvPre]-ncane[AdjStem]
noma	noma	noma[Conj]
abasebenza	aba-sebenz-a	aba[RelConc2]-sebenz[VRoot]-a[VerbTerm]
izikhathi	i-zi-khathi	i[NPrePre8]-zi[BPre8]-khathi[NStem]
ezithile	ezi-thile	ezi[RelConc8]-thile[RelStem]
.	.	.[Punc]
Imithombo	i-mi-thombo	i[NPrePre4]-mi[BPre4]-thombo[NStem]
yangaphakathi	ya-nga-phakathi	ya[PossConc4]-nga[Pot]-phakathi[NStem]
:	:	:[Punc]
eyenziwa	e-yi-enz-iw-a	e[RelConc9]-yi[CopPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
ngumasipala	ng-u-masipala	ng[CopPre]-u[NPrePre1]-masipala[NStem]
qobo	qobo	qobo[NStem]
lwakhe	lu-akh-e	lu[SC11]-akh[VRoot]-e[VerbTerm]
,	,	,[Punc]
isib.	isib.	isib.[Abbr]
izintela	i-zin-tela	i[NPrePre10]-zin[BPre10]-tela[NStem]
zikamasipala	zi-ka-masipala	zi[PossConc10]-ka[PossKA]-masipala[NStem]
nemisebenzi	na-i-mi-sebenzi	na[AdvPre]-i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
enjengokuqashiswa	e-njengango-u-ku-qash-is-w-a	e[RelConc9]-njengango[AdvPre]-u[NPrePre15]-ku[BPre15]-qash[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
kwezakhiwo	kwa-i-zi-akhiwo	kwa[PossConc15]-i[NPrePre8]-zi[BPre8]-akhiwo[NStem]
kanye	ka-nye	ka[AdvPre]-nye[AdjStem]
nezinkokhelo	na-i-zin-kokhelo	na[NPre10]-i[NPrePre10]-zin[BPre10]-kokhelo[NStem]
namanani	na-a-ma-nani	na[AdvPre]-a[NPrePre6]-ma[BPre6]-nani[NStem]
komsebenzisi	ku-m-sebenzisi	ku[PossConc15]-m[BPre3]-sebenzisi[NStem]
.	.	.[Punc]
Ukuhlelwa	u-ku-hlel-w-a	u[NPrePre15]-ku[BPre15]-hlel[VRoot]-w[PassExt]-a[VerbTerm]
kokulandelana	kwa-u-ku-landel-an-a	kwa[PossConc15]-u[NPrePre15]-ku[BPre15]-landel[VRoot]-an[RecipExt]-a[VerbTerm]
kwezigigaba	kwa-i-zi-gigaba	kwa[PossConc15]-i[NPrePre8]-zi[BPre8]-gigaba[NStem]
zomphakathi	za-u-m-phakathi	za[PossConc10]-u[NPrePre3]-m[BPre3]-phakathi[Adv]
,	,	,[Punc]
ukuhlaziywa	u-ku-hlaziy-w-a	u[NPrePre15]-ku[BPre15]-hlaziy[VRoot]-w[PassExt]-a[VerbTerm]
kwezimo	kwa-i-zi-mo	kwa[PossConc15]-i[NPrePre8]-zi[BPre8]-mo[NStem]
zezikhathi	za-i-zi-khathi	za[PossConc8]-i[NPrePre8]-zi[BPre8]-khathi[NStem]
zonyaka	za-u-nyaka	za[PossConc8]-u[NPrePre3]-nyaka[NStem]
nezesikhathi	na-i-za-i-si-khathi	na[AdvPre]-i[NPrePre7]-za[PossConc8]-i[NPrePre8]-si[BPre8]-khathi[NStem]
eside	esi-de	esi[AdjPref7]-de[AdjStem]
kwenza	ku-enz-a	ku[SC15]-enz[VRoot]-a[VerbTerm]
kube	ku-be	ku[SC15]-be[AuxVStem]
lula	lula	lula[Adv]
ukuba	ukuba	ukuba[Conj]
umphakathi	u-m-phakathi	u[NPrePre3]-m[BPre3]-phakathi[Adv]
uhlonze	u-hlonz-e	u[SC3]-hlonz[VRoot]-e[VerbTerm]
ukuthi	ukuthi	ukuthi[Conj]
kuyini	ku-yi-ni	ku[SC15]-yi[CopPre]-ni[Interrog]
okuletha	oku-leth-a	oku[RelConc15]-leth[VRoot]-a[VerbTerm]
intuthuko	i-ntuthuko	i[NPrePre9]-ntuthuko[NStem]
kuwenze	ku-wu-enz-e	ku[SC15]-wu[OC3]-enz[VRoot]-e[VerbTerm]
ukwazi	u-ku-azi	u[NPrePre15]-ku[BPre15]-azi[NStem]
ukuhlonza	u-ku-hlonz-a	u[NPrePre15]-ku[BPre15]-hlonz[VRoot]-a[VerbTerm]
uhlaziye	u-hlaziy-e	u[SC3]-hlaziy[VRoot]-e[VerbTerm]
impumelelo	i-m-pumelelo	i[NPrePre10]-m[BPre10]-pumelelo[NStem]
noma	noma	noma[Conj]
ukungabi	u-ku-nga-bi	u[NPrePre15]-ku[BPre15]-nga[NegPre]-bi[AuxVStem]
nagalelo	na-i-galelo	na[AdvPre]-i[NPrePre5]-galelo[NStem]
kwezinhlobo	kwa-i-zin-hlobo	kwa[PossConc15]-i[NPrePre10]-zin[BPre10]-hlobo[NStem]
zokungenelela	za-u-ku-ngen-el-el-a	za[PossConc10]-u[NPrePre15]-ku[BPre15]-ngen[VRoot]-el[ApplExt]-el[ApplExt]-a[VerbTerm]
emizamweni	e-i-mi-zamo-ini	e[LocPre]-i[NPrePre4]-mi[BPre4]-zamo[NStem]-ini[LocSuf]
yokuqhubezela	ya-u-ku-qhubezel-a	ya[PossConc4]-u[NPrePre15]-ku[BPre15]-qhubezel[VRoot]-a[VerbTerm]
intuthuko	i-ntuthuko	i[NPrePre9]-ntuthuko[NStem]
yomphakathi	yo-m-phakathi	yo[PossConc4]-m[BPre3]-phakathi[Adv]
.	.	.[Punc]
Umdwebo	u-m-dwebo	u[NPrePre3]-m[BPre3]-dwebo[NStem]
kaVenn	ka-Venn	ka[PossConc1a]-Venn[NStem]
,	,	,[Punc]
ukuhlaziywa	u-ku-hlaziy-w-a	u[NPrePre15]-ku[BPre15]-hlaziy[VRoot]-w[PassExt]-a[VerbTerm]
kwezindlela	kwa-i-zin-dlela	kwa[PossConc15]-i[NPrePre10]-zin[BPre10]-dlela[NStem]
zokuziphilisa	za-u-ku-zi-phil-is-a	za[PossConc10]-u[NPrePre15]-ku[BPre15]-zi[ReflPre]-phil[VRoot]-is[CausExt]-a[VerbTerm]
,	,	,[Punc]
imisebenzi	i-mi-sebenzi	i[NPrePre4]-mi[BPre4]-sebenzi[NStem]
yokwenza	ya-u-ku-enz-a	ya[PossConc9]-u[NPrePre15]-ku[BPre15]-enz[VRoot]-a[VerbTerm]
amabalazwe	a-ma-balazwe	a[NPrePre6]-ma[BPre6]-balazwe[NStem]
nokunqamula	na-u-ku-nqamul-a	na[AdvPre]-u[NPrePre15]-ku[BPre15]-nqamul[VRoot]-a[VerbTerm]
izindawo	i-zin-dawo	i[NPrePre10]-zin[BPre10]-dawo[NStem]
zibe	zi-be	zi[SC10]-be[AuxVStem]
yiziqephu	y-i-zi-qephu	y[CopPre]-i[NPrePre8]-zi[BPre8]-qephu[NStem]
kukhipha	ku-khiph-a	ku[SC15]-khiph[VRoot]-a[VerbTerm]
isithombe	i-si-thombe	i[NPrePre7]-si[BPre7]-thombe[NStem]
sesimo	sa-i-si-mo	sa[PossConc7]-i[NPrePre7]-si[BPre7]-mo[NStem]
samanje	sa-manje	sa[PossConc7]-manje[Adv]
somphakathi	sa-u-m-phakathi	sa[PossConc7]-u[NPrePre3]-m[BPre3]-phakathi[Adv]
,	,	,[Punc]
kuqhakambise	ku-qhakambis-e	ku[SC15]-qhakambis[VRoot]-e[VerbTerm]
izimo	i-zi-mo	i[NPrePre8]-zi[BPre8]-mo[NStem]
zendawo	ze-n-dawo	ze[PossConc8]-n[BPre9]-dawo[NStem]
,	,	,[Punc]
kusize	ku-siz-e	ku[SC15]-siz[VRoot]-e[VerbTerm]
ekuhlaziyeni	e-ku-hlaziy-a-ini	e[LocPre]-ku[BPre15]-hlaziy[VRoot]-a[VerbTerm]-ini[LocSuf]
izindlela	i-zin-dlela	i[NPrePre10]-zin[BPre10]-dlela[NStem]
zokuziphilisa	za-u-ku-zi-phil-is-a	za[PossConc10]-u[NPrePre15]-ku[BPre15]-zi[ReflPre]-phil[VRoot]-is[CausExt]-a[VerbTerm]
nezidingo	na-i-zi-dingo	na[AdvPre]-i[NPrePre8]-zi[BPre8]-dingo[NStem]
zomphakathi	za-u-m-phakathi	za[PossConc10]-u[NPrePre3]-m[BPre3]-phakathi[Adv]
.	.	.[Punc]
Ukuqaphela	u-ku-qaph-el-a	u[NPrePre15]-ku[BPre15]-qaph[VRoot]-el[ApplExt]-a[VerbTerm]
inqubekelaphambili	i-n-qubekelaphambili	i[NPrePre9]-n[BPre9]-qubekelaphambili[NStem]
yephrojekthi	ya-i-phrojekthi	ya[PossConc9]-i[NPrePre5]-phrojekthi[NStem]
kusemqoka	ku-s-e-m-qoka	ku[BPre15]-s[PreLoc-s]-e[LocPre]-m[BPre3]-qoka[NStem]
ukuqinisekisa	u-ku-qinisek-is-a	u[NPrePre15]-ku[BPre15]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]
ukuthi	u-ku-th-i	u[NPrePre15]-ku[BPre15]-th[VRoot]-i[VerbTerm]
ihlala	i-hlal-a	i[SC10]-hlal[VRoot]-a[VerbTerm]
isesimeni	i-s-e-simeni	i[BPre9]-s[PreLoc-s]-e[LocPre]-simeni[NStem]
esifanele	esi-fanel-e	esi[RelConc7]-fanel[VRoot]-e[VerbTerm]
nokuthi	na-ku-th-i	na[AdvPre]-ku[BPre15]-th[VRoot]-i[VerbTerm]
ubungozi	u-bu-ngozi	u[NPrePre14]-bu[BPre14]-ngozi[NStem]
noma	noma	noma[Conj]
izinguquko	i-zin-guquko	i[NPrePre10]-zin[BPre10]-guquko[NStem]
ezintsha	ezin-sha	ezin[AdjPref10]-sha[AdjStem]
ziyaqashelwa	zi-ya-qaph-el-w-a	zi[SC10]-ya[Pres]-qaph[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
bese	be-se	be[SC2]-se[AuxVStem]
ziyalandelelwa	zi-ya-landel-el-w-a	zi[SC8]-ya[Pres]-landel[VRoot]-el[ApplExt]-w[PassExt]-a[VerbTerm]
