Ukwengeza	u[NPrePre15]-kw[BPre15]-engez[VRoot]-a[VerbTerm]	u_kw_engez_a	NPrePre15_BPre15_VRoot_VerbTerm
kulokhu	ku[LocPre]-lokhu[Dem15][Pos1]	ku_lokhu	LocPre_Dem15_Pos1
,	,[Punc]	,	Punc
imibandela	i[NPrePre4]-mi[BPre4]-bandela[NStem]	i_mi_bandela	NPrePre4_BPre4_NStem
iyenziwa	i[SC4]-ye[Pres]-enz[VRoot]-iw[PassExt]-a[VerbTerm]	i_ye_enz_iw_a	SC4_Pres_VRoot_PassExt_VerbTerm
ukwakha	u[NPrePre15]-kw[BPre15]-akh[VRoot]-a[VerbTerm]	u_kw_akh_a	NPrePre15_BPre15_VRoot_VerbTerm
amakomiti	a[NPrePre6]-ma[BPre6]-komiti[NStem]	a_ma_komiti	NPrePre6_BPre6_NStem
amawadi	a[NPrePre6]-ma[BPre6]-wadi[NStem]	a_ma_wadi	NPrePre6_BPre6_NStem
,	,[Punc]	,	Punc
njengezinhlangano	njenga[AdvPre]-i[NPrePre10]-zin[BPre10]-hlangano[NStem]	njenga_i_zin_hlangano	AdvPre_NPrePre10_BPre10_NStem
ezelulekayo	ezi[RelConc10]-lulek[VRoot]-a[VerbTerm]-yo[RelSuf]	ezi_lulek_a_yo	RelConc10_VRoot_VerbTerm_RelSuf
,	,[Punc]	,	Punc
lawa	lawa[Dem6][Pos2]	lawa	Dem6_Pos2
maqembu	ma[BPre6]-qembu[NStem]	ma_qembu	BPre6_NStem
ahlanganisa	a[SC6]-hlangan[VRoot]-is[CausExt]-a[VerbTerm]	a_hlangan_is_a	SC6_VRoot_CausExt_VerbTerm
abamele	aba[RelConc2]-mel[VRoot]-e[VerbTerm]	aba_mel_e	RelConc2_VRoot_VerbTerm
umasipala	u[BPre1a]-masipala[NStem]	u_masipala	BPre1a_NStem
kanye	ka[AdvPre]-nye[AdjStem]	ka_nye	AdvPre_AdjStem
nomphakathi	no[AdvPre]-u[NPrePre3]-mu[BPre3]-phakathi[NStem]	no_u_mu_phakathi	AdvPre_NPrePre3_BPre3_NStem
ukuba	ukuba[Conj]	ukuba	Conj
badlulise	ba[SC2a]-dlul[VRoot]-is[CausExt]-e[VerbTerm]	ba_dlul_is_e	SC2a_VRoot_CausExt_VerbTerm
izidingo	i[NPrePre8]-zi[BPre8]-dingo[NStem]	i_zi_dingo	NPrePre8_BPre8_NStem
zomphakathi	zo[PossConc10]-u[NPrePre3]-mu[BPre3]-phakathi[NStem]	zo_u_mu_phakathi	PossConc10_NPrePre3_BPre3_NStem
kanye	ka[AdvPre]-nye[AdjStem]	ka_nye	AdvPre_AdjStem
neziphakamiso	ne[AdvPre]-i[NPrePre8]-zi[BPre8]-phakamiso[NStem]	ne_i_zi_phakamiso	AdvPre_NPrePre8_BPre8_NStem
ziye	zi[SC8]-y[VRoot]-e[VerbTerm]	zi_y_e	SC8_VRoot_VerbTerm
kumkhandlu	ku[LocPre]-m[BPre1]-khandlu[NStem]	ku_m_khandlu	LocPre_BPre1_NStem
.	.[Punc]	.	Punc
Indlela	i[NPrePre9]-n[BPre9]-dlela[NStem]	i_n_dlela	NPrePre9_BPre9_NStem
esebenza	e[RelConc9]-sebenz[VRoot]-a[VerbTerm]	e_sebenz_a	RelConc9_VRoot_VerbTerm
ngakubili	ngaku[AdvPre]-bili[AdjStem]	ngaku_bili	AdvPre_AdjStem
yewadi	ya[PossConc4]-i[NPrePre5]-wadi[NStem]	ya_i_wadi	PossConc4_NPrePre5_NStem
kanye	ka[AdvPre]-nye[AdjStem]	ka_nye	AdvPre_AdjStem
nokumela	no[CopPre]-ku[SC15]-mel[Intrans]-a[VerbTerm]	no_ku_mel_a	CopPre_SC15_Intrans_VerbTerm
ngokulingana	nga[AdvPre]-u[NPrePre15]-ku[BPre15]-lingana[NStem]	nga_u_ku_lingana	AdvPre_NPrePre15_BPre15_NStem
kusho	ku[LocPre]-sho[NStem]	ku_sho	LocPre_NStem
ukuthi	u[NPrePre15]-ku[BPre15]-th[VRoot]-i[VerbTerm]	u_ku_th_i	NPrePre15_BPre15_VRoot_VerbTerm
imiphakathi	i[NPrePre4]-mi[BPre4]-phakathi[NStem]	i_mi_phakathi	NPrePre4_BPre4_NStem
ikhethe	i[SC4]-kheth[VRoot]-e[VerbTerm]	i_kheth_e	SC4_VRoot_VerbTerm
ngqo	ngqo[Ideoph]	ngqo	Ideoph
abayimele	aba[RelConc2]-yi[CopPre]-mel[VRoot]-e[VerbTerm]	aba_yi_mel_e	RelConc2_CopPre_VRoot_VerbTerm
abanesibopho	aba[RelConc2]-ne[CopPre]-si[BPre7]-bopho[NStem]	aba_ne_si_bopho	RelConc2_CopPre_BPre7_NStem
kubo	ku[LocPre]-bo[PronStem2]	ku_bo	LocPre_PronStem2
ukuba	ukuba[Conj]	ukuba	Conj
badlulise	ba[SC2a]-dlul[VRoot]-is[CausExt]-e[VerbTerm]	ba_dlul_is_e	SC2a_VRoot_CausExt_VerbTerm
futhi	futhi[Conj]	futhi	Conj
babike	ba[SC2]-bik[VRoot]-e[VerbTerm]	ba_bik_e	SC2_VRoot_VerbTerm
ukukhathazeka	u[NPrePre15]-ku[BPre15]-khathaz[VRoot]-ek[NeutExt]-a[VerbTerm]	u_ku_khathaz_ek_a	NPrePre15_BPre15_VRoot_NeutExt_VerbTerm
kwabo	kwa[PossConc15]-bo[PronStem2]	kwa_bo	PossConc15_PronStem2
.	.[Punc]	.	Punc
Chaza	chaz[VRoot]-a[VerbTerm]	chaz_a	VRoot_VerbTerm
izindlela	i[NPrePre10]-zin[BPre10]-dlela[NStem]	i_zin_dlela	NPrePre10_BPre10_NStem
ezahlukene	ezi[RelConc10]-ahluk[VRoot]-an[RecipExt]-il[Perf]-e[VerbTerm]	ezi_ahluk_an_il_e	RelConc10_VRoot_RecipExt_Perf_VerbTerm
zokubhekana	za[PossConc8]-u[NPrePre15]-ku[BPre15]-bhek[VRoot]-an[RecipExt]-a[VerbTerm]	za_u_ku_bhek_an_a	PossConc8_NPrePre15_BPre15_VRoot_RecipExt_VerbTerm
nengxabano	na[AdvPre]-i[NPrePre9]-ngxabano[NStem]	na_i_ngxabano	AdvPre_NPrePre9_NStem
.	.[Punc]	.	Punc
Ukongela	U[SC1a]-ku[BPre15]-ong[VRoot]-el[ApplExt]-a[VerbTerm]	U_ku_ong_el_a	SC1a_BPre15_VRoot_ApplExt_VerbTerm
umhlalaphansi	umhlalaphansi[NStem]	umhlalaphansi	NStem
negebe	na[AdvPre]-igebe[NStem]	na_igebe	AdvPre_NStem
lobungozi	la[PossConc5]-u[NPrePre14]-bu[BPre14]-ngozi[NStem]	la_u_bu_ngozi	PossConc5_NPrePre14_BPre14_NStem
benzuzo	ba[PossConc2]-i[NPrePre9]-nzuzo[NStem]	ba_i_nzuzo	PossConc2_NPrePre9_NStem
kumele	ku[SC15]-mel[VRoot]-e[VerbTerm]	ku_mel_e	SC15_VRoot_VerbTerm
kuvalwe	ku[SC15]-val[VRoot]-w[PassExt]-e[VerbTerm]	ku_val_w_e	SC15_VRoot_PassExt_VerbTerm
ngezinguquko	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-guquko[NStem]	nga_i_zin_guquko	AdvPre_NPrePre10_BPre10_NStem
kubandakanya	ku[SC15]-bandakany[VRoot]-a[VerbTerm]	ku_bandakany_a	SC15_VRoot_VerbTerm
neminikelo	na[AdvPre]-i[NPrePre4]-mi[BPre4]-nikelo[NStem]	na_i_mi_nikelo	AdvPre_NPrePre4_BPre4_NStem
okumele	oku[RelConc15]-m[VRoot]-el[ApplExt]-e[VerbTerm]	oku_m_el_e	RelConc15_VRoot_ApplExt_VerbTerm
ifakwe	i[SC9]-fak[VRoot]-w[PassExt]-e[VerbTerm]	i_fak_w_e	SC9_VRoot_PassExt_VerbTerm
,	,[Punc]	,	Punc
kubhekelelwe	ku[SC15]-bhek[VRoot]-elel[IntensExt]-w[PassExt]-e[VerbTerm]	ku_bhek_elel_w_e	SC15_VRoot_IntensExt_PassExt_VerbTerm
kakhulu	ka[AdvPre]-khulu[AdjStem]	ka_khulu	AdvPre_AdjStem
ekuxhaseni	e[RelConc9]-kuxhas[Intrans]-a[VerbTerm]-ini[LocSuf]	e_kuxhas_a_ini	RelConc9_Intrans_VerbTerm_LocSuf
leyo	leyo[Dem4][Pos2]	leyo	Dem4_Pos2
minikelo	mi[BPre4]-nikelo[NStem]	mi_nikelo	BPre4_NStem
kulabo	ku[LocPre]-labo[Dem2][Pos3]	ku_labo	LocPre_Dem2_Pos3
abahola	aba[RelConc2]-hol[VRoot]-a[VerbTerm]	aba_hol_a	RelConc2_VRoot_VerbTerm
kancane	ka[AdvPre]-ncane[AdjStem]	ka_ncane	AdvPre_AdjStem
noma	noma[Conj]	noma	Conj
abasebenza	aba[RelConc2]-sebenz[VRoot]-a[VerbTerm]	aba_sebenz_a	RelConc2_VRoot_VerbTerm
izikhathi	i[NPrePre8]-zi[BPre8]-khathi[NStem]	i_zi_khathi	NPrePre8_BPre8_NStem
ezithile	ezi[RelConc8]-thile[RelStem]	ezi_thile	RelConc8_RelStem
.	.[Punc]	.	Punc
Imithombo	i[NPrePre4]-mi[BPre4]-thombo[NStem]	i_mi_thombo	NPrePre4_BPre4_NStem
yangaphakathi	ya[PossConc4]-nga[Pot]-phakathi[NStem]	ya_nga_phakathi	PossConc4_Pot_NStem
:	:[Punc]	:	Punc
eyenziwa	e[RelConc9]-yi[CopPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]	e_yi_enz_iw_a	RelConc9_CopPre_VRoot_PassExt_VerbTerm
ngumasipala	ng[CopPre]-u[NPrePre1]-masipala[NStem]	ng_u_masipala	CopPre_NPrePre1_NStem
qobo	qobo[NStem]	qobo	NStem
lwakhe	lu[SC11]-akh[VRoot]-e[VerbTerm]	lu_akh_e	SC11_VRoot_VerbTerm
,	,[Punc]	,	Punc
isib.	isib.[Abbr]	isib.	Abbr
izintela	i[NPrePre10]-zin[BPre10]-tela[NStem]	i_zin_tela	NPrePre10_BPre10_NStem
