Ngetulu	nga[AdvPre]-tulu[Adv]	ngetulu	AdvPre_Adv
kwaloko	kwa[PossConc15]-loko[Dem15][Pos2]	n_kwaloko	PossConc15_Dem15_Pos2
,	,[Punc]	<invalid>	Punc
kuba	ku[BPre15]-b[VRoot]-a[VerbTerm]	KUBA	BPre15_VRoot_VerbTerm
khona	khona[Conj]	KHONA	Conj
kuniketela	ku[BPre15]-niket[VRoot]-el[ApplExt]-a[VerbTerm]	kuniketela	BPre15_VRoot_ApplExt_VerbTerm
kwekwakhiwa	kwe[PossConc15]-ku[BPre15]-akh[VRoot]-iw[PassExt]-a[VerbTerm]	kwekwakhiwa	PossConc15_BPre15_VRoot_PassExt_VerbTerm
kwemaKomidi	kwe[PossConc15]-ma[BPre6]-komidi[NStem]	kwema_Komidi	PossConc15_BPre6_NStem
emaWadi	e[NPrePre6]-ma[BPre6]-wadi[NStem]	emapadi	NPrePre6_BPre6_NStem
,	,[Punc]	<invalid>	Punc
njengemitimba	njenga[AdvPre]-i[NPrePre4]-mi[BPre4]-timba[NStem]	n_jengemitimba	AdvPre_NPrePre4_BPre4_NStem
yamasipala	ya[PossConc4]-masipala[NStem]	yamasipala	PossConc4_NStem
lelulekako	le[PossConc5]-lulek[VRoot]-a[VerbTerm]-ko[RelSuf]	le_luleko	PossConc5_VRoot_VerbTerm_RelSuf
kanye	kanye[Adv]	kanye	Adv
nalabamele	na[AdvPre]-laba[RelConc2]-im[VRoot]-el[ApplExt]-e[VerbTerm]	nalabamel_e	AdvPre_RelConc2_VRoot_ApplExt_VerbTerm
ummango	u[NPrePre3]-mu[BPre3]-mango[NStem]	uma_mango	NPrePre3_BPre3_NStem
kute	kute[Conj]	kute	Conj
kuhanjiswe	ku[SC15]-hamb[VRoot]-is[CausExt]-w[PassExt]-e[VerbTerm]	kuhanj_is_w_e	SC15_VRoot_CausExt_PassExt_VerbTerm
tidzingo	ti[BPre8]-dzingo[NStem]	tidingo	BPre8_NStem
netiphakamiso	na[AdvPre]-ti[BPre8]-phakamiso[NStem]	netiphakamiso	AdvPre_BPre8_NStem
temmango	ta[PossConc8]-u[NPrePre3]-mu[BPre3]-mango[NStem]	n_temango	PossConc8_NPrePre3_BPre3_NStem
