morphemes	target	prediction	morphemes_predseg	prediction_predseg
ku_kho	CopPre_Adv	CopPre_Adv	ku_kho	CopPre_Adv
i_(z)in_tlobo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_tlobo	NPrePre10_BPre10_NStem
ezi_ninzi	AdjPref8_AdjStem	AdjPref8_AdjStem	ezi_ninzi	AdjPref8_AdjStem
za_u_(lu)_lawulo	PossConc10_NPrePre11_BPre11_NStem	PossConc10_NPrePre11_BPre11_NStem	za_u_(lu)_lawulo	PossConc10_NPrePre11_BPre11_NStem
lwa_i_(z)i_projekthi	PossConc11_NPrePre10_BPre10_NStem	PossConc11_NPrePre10_BPre10_NStem	lwa_i_(z)i_projekthi	PossConc11_NPrePre10_BPre10_NStem
ezi_sebenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf	ezi_sebenz_is_w_a_yo	RelConc10_VRoot_CausExt_PassExt_VerbTerm_RelSuf
ku_i_(li)_candelo	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5_NStem	ku_i_(li)_candelo	LocPre_NPrePre5_BPre5_NStem
la_u_(lu)_phuhliso	PossConc5_NPrePre11_BPre11_NStem	PossConc5_NPrePre11_BPre11_NStem	lwa_u_(lu)_phuhliso	PossConc11_NPrePre11_BPre11_NStem
.	Punc	Punc	.	Punc
ezi	Dem10_Pos1	Dem10	ezi	Dem10
n_tlobo	BPre9_NStem	BPre9_NStem	n_tlobo	BPre9_NStem
ke	Conj	Conj	ke	Conj
zi_kholis_a	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	zi_kholis_a	SC10_VRoot_VerbTerm
u_ku_ahluk_a	NPrePre15_SC15_Intrans_VerbTerm	NPrePre15_BPre15_Intrans_VerbTerm	u_ku_ahluk_a	NPrePre15_BPre15_Intrans_VerbTerm
kwa_ezo	PossConc15_Dem10_Pos2	PossConc15_Dem8	kwa_ezo	PossConc15_Dem8
zi_sebenz_is_w_a	SC10_VRoot_CausExt_PassExt_VerbTerm	SC8_VRoot_CausExt_PassExt_VerbTerm	zi_sebenz_is_w_a	SC8_VRoot_CausExt_PassExt_VerbTerm
ku_a_ma_candelo	LocPre_NPrePre6_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	ku_a_ma_candelo	LocPre_NPrePre6_BPre6_NStem
